device,rho,seed,p_bg,p_gb,pi_bad_observed,lag1_autocorr,lag1_autocorr_theory,rate_jitter_sigma_log,rate_jitter_p10,rate_jitter_p50,rate_jitter_p90,resample_attempt
device_0,0.0,1701,0.8,0.2,0.19936,-0.002661444942765865,0.0,0.25,0.7225575812609414,1.0003710298110748,1.379100852578344,0
device_0,0.0,1702,0.8,0.2,0.20106,0.005830007599770396,0.0,0.25,0.7275464400494368,0.9998930447119194,1.3751056564674224,0
device_0,0.0,1703,0.8,0.2,0.19952,0.005656351965683195,0.0,0.25,0.7252400630369529,0.9985868806466984,1.3745538506044488,0
device_0,0.0,1704,0.8,0.2,0.20257,0.002457782015709934,0.0,0.25,0.7259565992507545,0.9995215713176954,1.3784478490425,0
device_0,0.0,1705,0.8,0.2,0.20104,-0.004155617772998724,0.0,0.25,0.7252174277451199,1.0009164472746517,1.3779631180014775,0
device_0,0.0,1706,0.8,0.2,0.20062,-0.0045443747273977144,0.0,0.25,0.7260389148323061,1.0002897723328925,1.3778446004895504,0
device_0,0.0,1707,0.8,0.2,0.19896,0.001346027845602329,0.0,0.25,0.7247231958807203,1.0003572286812894,1.3774115458480856,0
device_0,0.0,1708,0.8,0.2,0.19922,-0.001372807149175493,0.0,0.25,0.7247665351833127,0.9990365292560894,1.379229349930646,0
device_0,0.0,1709,0.8,0.2,0.20001,0.005034822885721277,0.0,0.25,0.7255243082446937,1.000223259401877,1.3776679994455403,0
device_0,0.0,1710,0.8,0.2,0.19848,0.0007247411049733544,0.0,0.25,0.7255624677379953,1.001546953187082,1.3767562092424226,0
device_0,0.375,1701,0.5,0.125,0.19773,0.37585282092426525,0.375,0.25,0.7254449848180936,1.0001298202687439,1.3782447731674303,0
device_0,0.375,1702,0.5,0.125,0.20083,0.3763938072575695,0.375,0.25,0.7248627187336001,1.0005419484964841,1.3788008125119369,0
device_0,0.375,1703,0.5,0.125,0.19949,0.3708761472322628,0.375,0.25,0.7254275845512917,0.9987039535235958,1.3734981152323358,0
device_0,0.375,1704,0.5,0.125,0.19956,0.37083454970073176,0.375,0.25,0.7248587019283973,1.0000217220361736,1.377034924599617,0
device_0,0.375,1705,0.5,0.125,0.1976,0.38054564128452917,0.375,0.25,0.726003730796349,0.9996204612157151,1.377294507409462,0
device_0,0.375,1706,0.5,0.125,0.19975,0.37847803043317246,0.375,0.25,0.7259788850579069,0.9994847322655234,1.3755818204908814,0
device_0,0.375,1707,0.5,0.125,0.19756,0.3714936166119789,0.375,0.25,0.7267519518435753,1.0002713396821261,1.3798332566352873,0
device_0,0.375,1708,0.5,0.125,0.19968,0.3728274067949136,0.375,0.25,0.7257701840431282,1.000642155122146,1.3779717505782862,0
device_0,0.375,1709,0.5,0.125,0.20214,0.3789219763360735,0.375,0.25,0.7262503624059858,0.9988789364437234,1.3785014264233897,0
device_0,0.375,1710,0.5,0.125,0.19842,0.37511826036297974,0.375,0.25,0.7255727371550811,0.9997975607310516,1.3791826045218931,0
device_0,0.75,1701,0.2,0.05,0.20817,0.7556341521150168,0.75,0.25,0.7256966734555612,0.9985170594436429,1.3769474731677542,0
device_0,0.75,1702,0.2,0.05,0.20244,0.7487885933421545,0.75,0.25,0.7245073819290325,1.0004706987953842,1.3791269343852164,0
device_0,0.75,1703,0.2,0.05,0.20102,0.7470900970852136,0.75,0.25,0.7241460133647768,1.0003719706452563,1.3791846931419314,0
device_0,0.75,1704,0.2,0.05,0.19715,0.7479806369104111,0.75,0.25,0.7251044394526035,1.000197810971272,1.3784392544708992,0
device_0,0.75,1705,0.2,0.05,0.20494,0.7506431485678381,0.75,0.25,0.725548141478939,0.9991489632595913,1.3764515745164534,0
device_0,0.75,1706,0.2,0.05,0.20282,0.7537784223147826,0.75,0.25,0.7264065147999175,1.0015013187719055,1.3783432324766078,0
device_0,0.75,1707,0.2,0.05,0.20138,0.7431906944181493,0.75,0.25,0.7226354993628931,0.9977393350411591,1.3763505775883662,0
device_0,0.75,1708,0.2,0.05,0.20034,0.7475350990705809,0.75,0.25,0.7272160715123815,1.0019468708626778,1.381058450902078,0
device_0,0.75,1709,0.2,0.05,0.20613,0.7542776800152501,0.75,0.25,0.7251532050772443,0.9990623822330962,1.378114776986093,0
device_0,0.75,1710,0.2,0.05,0.20286,0.74728584709585,0.75,0.25,0.7258361369036412,0.9990623260425022,1.3791780037941948,0
device_0,0.875,1701,0.1,0.025,0.20249,0.8763990178082249,0.875,0.25,0.7251476690043447,1.0001962590536828,1.3792903608985596,0
device_0,0.875,1702,0.1,0.025,0.19703,0.8759866636367837,0.875,0.25,0.7258083805578495,1.0015149594042585,1.3783552141639537,0
device_0,0.875,1703,0.1,0.025,0.20238,0.8773687974569232,0.875,0.25,0.7265503720119252,0.9998635733141001,1.3788155991168167,0
device_0,0.875,1704,0.1,0.025,0.19663,0.8771256568671042,0.875,0.25,0.7255757041395382,0.9998942661179824,1.3774111205299293,0
device_0,0.875,1705,0.1,0.025,0.20133,0.8756186617053834,0.875,0.25,0.7241747140288793,0.9996718493062738,1.378251981610793,0
device_0,0.875,1706,0.1,0.025,0.19605,0.8731077294363513,0.875,0.25,0.7267179173861356,0.9993809651227639,1.3790119722895617,0
device_0,0.875,1707,0.1,0.025,0.2,0.8774036452681541,0.875,0.25,0.7263050664302593,1.0016848142789843,1.3768032852588128,1
device_0,0.875,1708,0.1,0.025,0.20258,0.87442580026271,0.875,0.25,0.725245190001711,0.9986666714348369,1.3770310202821014,0
device_0,0.875,1709,0.1,0.025,0.19831,0.8770598020870867,0.875,0.25,0.7270872277741328,1.0010233919110527,1.3788222590716712,0
device_0,0.875,1710,0.1,0.025,0.19668,0.8724656025657239,0.875,0.25,0.7250268842880613,0.9995492294160067,1.3776370697209785,0
device_0,0.9375,1701,0.05,0.0125,0.20509,0.9402237906216514,0.9375,0.25,0.7266005946812373,0.9999099132844811,1.3743318229783714,0
device_0,0.9375,1702,0.05,0.0125,0.19366,0.9366016280001491,0.9375,0.25,0.7251813145615863,0.9983717785326961,1.37615332327809,0
device_0,0.9375,1703,0.05,0.0125,0.19489,0.9369055048961522,0.9375,0.25,0.7244355089966185,0.9996370604325938,1.3772331779541716,1
device_0,0.9375,1704,0.05,0.0125,0.19999,0.9358099323716185,0.9375,0.25,0.7255364995159144,1.001834660418486,1.3815463179725096,0
device_0,0.9375,1705,0.05,0.0125,0.19063,0.9374553760710133,0.9375,0.25,0.7259079595015121,0.9997448925576907,1.3754838659273316,0
device_0,0.9375,1706,0.05,0.0125,0.20144,0.9386428776611538,0.9375,0.25,0.7256411382480701,1.000515384363447,1.3784303607497856,0
device_0,0.9375,1707,0.05,0.0125,0.20073,0.9386652506542138,0.9375,0.25,0.725803131468763,1.0014844507628335,1.3783334416621331,0
device_0,0.9375,1708,0.05,0.0125,0.19042,0.9350336658268497,0.9375,0.25,0.726219281636213,1.0004901036876017,1.376190851072965,0
device_0,0.9375,1709,0.05,0.0125,0.20214,0.9387695757970393,0.9375,0.25,0.7261207649571586,1.0006383095691986,1.3760957387038026,0
device_0,0.9375,1710,0.05,0.0125,0.20082,0.9338903427364145,0.9375,0.25,0.7262315593401758,0.9999648993310402,1.3773981262440493,0
device_0,0.975,1701,0.020000000000000018,0.0050000000000000044,0.20012,0.9750727182312047,0.975,0.25,0.7249273298767982,1.0000208979153027,1.3745236410389634,0
device_0,0.975,1702,0.020000000000000018,0.0050000000000000044,0.19762,0.9739220248349032,0.975,0.25,0.7245806715367532,0.9999129435804849,1.3769273361287977,1
device_0,0.975,1703,0.020000000000000018,0.0050000000000000044,0.1984,0.975854682367182,0.975,0.25,0.7255835925445359,1.0003524866231452,1.3789914253662099,1
device_0,0.975,1704,0.020000000000000018,0.0050000000000000044,0.19634,0.9733501805342133,0.975,0.25,0.7261168097135832,0.9999903743831575,1.3778845520592002,0
device_0,0.975,1705,0.020000000000000018,0.0050000000000000044,0.19493,0.9747974986214312,0.975,0.25,0.726508227073241,1.0003457693972742,1.3786820524114418,0
device_0,0.975,1706,0.020000000000000018,0.0050000000000000044,0.203,0.9742259419786155,0.975,0.25,0.7280192443274843,1.002075472384905,1.3761542705233645,0
device_0,0.975,1707,0.020000000000000018,0.0050000000000000044,0.20266,0.9738223967562294,0.975,0.25,0.7259089189517177,0.9988396295332072,1.3764479026799947,0
device_0,0.975,1708,0.020000000000000018,0.0050000000000000044,0.19043,0.9746047948044175,0.975,0.25,0.7251578492532982,1.0006573680544038,1.3775694001474865,0
device_0,0.975,1709,0.020000000000000018,0.0050000000000000044,0.19294,0.9749540477640206,0.975,0.25,0.7261794635105163,1.0000751551016016,1.3739969357355002,0
device_0,0.975,1710,0.020000000000000018,0.0050000000000000044,0.19779,0.9774683509778551,0.975,0.25,0.7252920359954896,1.0012403122232418,1.377605694651113,2
