device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,discard_gain_percent,targeting_gain_percent,oracle_gap_percent,online_recovery,p2prime_gap_percent
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,8.190119399610687,14.948732064357275,23.13885146396796,0.9691389160691656,0.03539282242389362
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,4.930601481563717,11.573020321633086,16.503621803196804,0.9160661987215631,0.20202523244183876
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,6.665101849391306,15.547148204794498,22.212250054185805,0.9881331086520054,0.021984571982375245
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,3.9688792532290758,11.574967175123144,15.543846428352218,0.9508751946408505,0.06449546533984447
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,11.43923984432855,27.050514048792774,38.489753893121325,0.9566067193725202,0.07241851596451333
device_0,0.0,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,7.039072435735213,19.322103866477047,26.36117630221226,0.9164712085715513,0.2827924373771834
device_0,0.0,1701,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80,420,4.5016411345933545,12.72907321689568,17.230714351489034,0.9865446542587588,0.009264868296116767
device_0,0.0,1701,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80,420,1.8811624388879893,9.632907823827423,11.514070262715414,0.9557878895703364,0.007404475570090718
device_0,0.0,1701,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80,920,9.194386335532114,28.258673339935466,37.453059675467586,0.9838481537904106,0.04074147904008498
device_0,0.0,1701,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80,920,4.095605893568854,20.288145635999108,24.383751529567967,0.9842848700571819,0.16447536136894003
device_0,0.0,1701,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80,1420,14.173673257807707,36.6570211881561,50.83069444596381,0.9903427330040894,3.127669224606534
device_0,0.0,1701,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80,1420,6.156626890553547,25.994473723819215,32.151100614372766,0.9878586280010931,2.308146848238713
device_0,0.0,1701,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18,82,0.7128136953229764,3.6307198431000423,4.343533538423019,0.9678484818100407,2.9021669410037343e-06
device_0,0.0,1701,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18,82,0.287931229792582,2.3590568112402015,2.6469880410327837,0.9527342848881468,0.0005643415569062801
device_0,0.0,1701,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18,482,4.596865021967708,19.27700828560505,23.873873307572758,0.9751098892249705,0.9255838285867879
device_0,0.0,1701,1.5,54.0675,0.05,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18,482,1.4651385821973733,12.51033547642306,13.975474058620433,0.982868775267819,0.6003923057023234
device_0,0.0,1701,1.5,54.0675,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18,982,9.366800274673215,25.42219908279302,34.78899935746624,0.9845099724447939,0.9648624861000106
device_0,0.0,1701,1.5,54.0675,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18,982,2.6555126436935104,16.022316738212943,18.677829381906456,0.985976782023421,0.7061453352704454
device_0,0.0,1701,1.5,54.0675,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18,1482,15.055734486665274,30.393369669060093,45.449104155725365,0.9879376246036953,1.0499139688775543
device_0,0.0,1701,1.5,54.0675,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18,1482,4.082756424068883,18.774115600851477,22.856872024920364,0.9793302439314833,1.014266110830813
device_0,0.0,1701,2.0,72.09,0.01,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,0,100,1.0228136838513058,1.9011212359802014,2.923934919831507,0.9382630518956401,3.5822443392427992e-06
device_0,0.0,1701,2.0,72.09,0.01,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,0,100,0.11833462497531082,0.7994201623653534,0.9177547873406642,,0.0
device_0,0.0,1701,2.0,72.09,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,0,500,4.693443655607077,9.357233672637202,14.05067732824428,0.97744352124103,0.014501596234966213
device_0,0.0,1701,2.0,72.09,0.05,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,0,500,0.5401838409138645,3.7216751193896807,4.261858960303545,0.9747398129425491,0.007891681692047386
device_0,0.0,1701,2.0,72.09,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,0,1000,9.619344007030211,17.90424840331636,27.523592410346573,0.9832498023446398,0.06376954967651305
device_0,0.0,1701,2.0,72.09,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,0,1000,1.026660915618172,6.987010593616791,8.013671509234964,0.9842744361067912,0.08845475447212199
device_0,0.0,1701,2.0,72.09,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,0,1500,15.026972464047688,25.366452461942412,40.393424925990104,0.984360357849221,0.524854535956535
device_0,0.0,1701,2.0,72.09,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,0,1500,1.7363634136936352,9.092829340826626,10.829192754520259,0.9897113316153601,0.7210353889152317
device_0,0.0,1702,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,721,779,8.22514360826199,15.288771932661804,23.513915540923797,0.9717841013102757,0.03962026147383964
device_0,0.0,1702,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,721,779,5.317208823063409,11.461387432792948,16.77859625585636,0.9236061085581466,0.1979387721974162
device_0,0.0,1702,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,325,675,7.321081421328755,14.973011820053282,22.29409324138204,0.989270878518087,0.023600347697061312
device_0,0.0,1702,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,325,675,3.8133419232108015,11.795091237957212,15.608433161168012,0.9469687805382866,0.06744977853558114
device_0,0.0,1702,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,325,1175,12.066932296660294,26.544567857646758,38.61150015430706,0.9604083847522358,0.08020323615994204
device_0,0.0,1702,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,325,1175,6.818274314504709,19.63074344887808,26.44901776338279,0.915281784486654,0.2781880175728951
device_0,0.0,1702,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,93,407,3.931512918775951,12.83110986959417,16.762622788370123,0.9866425640974194,0.00767575541901012
device_0,0.0,1702,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,93,407,1.7542443983611293,9.446965393744094,11.201209792105223,0.9582521570358997,0.009216282259615481
device_0,0.0,1702,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,93,907,9.169496127498324,27.893365670503623,37.06286179800195,0.9540637948891978,0.03992994325893298
device_0,0.0,1702,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,93,907,3.8738355976304653,20.292439042198318,24.16627463982878,0.9835430725446983,0.16951540884582178
device_0,0.0,1702,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,93,1407,13.304138631384514,37.54238353771618,50.846522169100695,0.9905766223928775,3.3804802672776764
device_0,0.0,1702,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,93,1407,5.752822790251488,26.431812398872033,32.184635189123526,0.988141814108602,2.447346986826175
device_0,0.0,1702,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,73,0.6811597887161571,3.2088009391794348,3.8899607278955917,0.9785313653572998,0.0
device_0,0.0,1702,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,73,0.16000518498647026,2.2069701982976797,2.36697538328415,0.96230424271969,8.469125719837067e-05
device_0,0.0,1702,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,473,4.564473477042715,18.985790015931563,23.550263492974278,0.9634217619082597,0.6609605197741628
device_0,0.0,1702,1.5,54.0675,0.05,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,473,1.473576995695154,12.287662987833235,13.761239983528387,0.9702223872282808,0.4291194063354258
device_0,0.0,1702,1.5,54.0675,0.1,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,973,9.668251618232526,24.84563190099372,34.51388351922625,0.9850891520653475,0.701895921878094
device_0,0.0,1702,1.5,54.0675,0.1,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,973,2.849455116163209,15.637752497644387,18.487207613807595,0.9836226882013166,0.5238895795248677
device_0,0.0,1702,1.5,54.0675,0.15,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,1473,14.5987491270477,30.63007073020842,45.22881985725612,0.988514684757287,0.7970872077342249
device_0,0.0,1702,1.5,54.0675,0.15,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,1473,4.752577001119524,17.95644191841638,22.709018919535904,0.9790047093799638,0.8578703021406852
device_0,0.0,1702,2.0,72.09,0.01,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,100,1.0214709484870756,1.9206128625753134,2.942083811062389,0.9411926153100694,0.0
device_0,0.0,1702,2.0,72.09,0.01,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,100,0.08322302128670485,0.8340272277060637,0.9172502489927685,,0.00034822731012200896
device_0,0.0,1702,2.0,72.09,0.05,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,500,5.019232636311233,9.059905411660454,14.079138047971687,0.9812752986961402,0.01197079593290312
device_0,0.0,1702,2.0,72.09,0.05,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,500,0.6372085024103585,3.63486777678401,4.272076279194368,0.9716806401686381,0.012343846343717246
device_0,0.0,1702,2.0,72.09,0.1,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,1000,10.150499189139108,17.40097546330634,27.55147465244545,0.9858047852847895,0.06227311531857235
device_0,0.0,1702,2.0,72.09,0.1,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,1000,1.2791024498031598,6.770435665421972,8.04953811522513,0.9805863668433786,0.08699361538311752
device_0,0.0,1702,2.0,72.09,0.15,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,1500,14.997901183834639,25.449425051017997,40.44732623485264,0.9857508648841334,0.5670563833654167
device_0,0.0,1702,2.0,72.09,0.15,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,0,1500,1.8369946030247868,9.073984104682204,10.910978707706992,0.9825426991243172,0.6788032413644718
device_0,0.75,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,746,754,8.39780114818768,14.185713972398315,22.583515120585997,0.7715173828903539,1.9126217375047272
device_0,0.75,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,746,754,4.954252761181273,11.119015217296507,16.07326797847778,0.7048156040761124,1.5314637102090423
device_0,0.75,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,363,637,6.601064185689721,14.479894774303192,21.080958959992913,0.8249541182887025,0.11523076642520842
device_0,0.75,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,363,637,3.6219250551016904,11.093958716938815,14.715883772040504,0.7353375597641096,0.37687680776932947
device_0,0.75,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,363,1137,11.696561956618675,25.73751504246486,37.43407699908354,0.7358559041389041,8.430107779901979
device_0,0.75,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,363,1137,6.575765771475846,18.968428046688935,25.544193818164782,0.6769453194701769,6.0893680808224175
device_0,0.75,1701,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,418,3.9884531027803853,12.942530376427277,16.93098347920766,0.9317162372243967,0.019161920212229275
device_0,0.75,1701,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,418,1.6290804357137034,9.681737500973938,11.310817936687641,0.8520153689824903,0.05975872353242589
device_0,0.75,1701,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,918,9.43784236955705,27.451673048246665,36.889515417803715,0.7785124377300631,4.047612743525673
device_0,0.75,1701,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,918,4.1430038192103975,19.888939085065978,24.031942904276374,0.9664523763815344,3.113202833182971
device_0,0.75,1701,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,1418,14.3707271045885,36.62055155094287,50.991278655531374,0.7556100973730947,10.451687978908355
device_0,0.75,1701,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,1418,6.629764261103808,25.642842101354912,32.272606362458724,0.9660383571293436,7.331198516394632
device_0,0.75,1701,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,78,0.8763298857564227,3.210958433939628,4.087288319696051,0.9797805521695404,0.0014015676610375334
device_0,0.75,1701,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,78,0.1933633155250251,2.2963362808220347,2.48969959634706,0.9546614939376639,0.0005958028976327482
device_0,0.75,1701,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,478,4.572285487475911,19.843823410139457,24.416108897615366,0.8151158294178025,1.8949518466270387
device_0,0.75,1701,1.5,54.0675,0.05,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,478,1.1636312325240377,13.180695348749238,14.344326581273279,0.9423599229355465,1.236430142951765
device_0,0.75,1701,1.5,54.0675,0.1,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,978,10.106212194024458,25.12004424658876,35.22625644061321,0.8551392206235426,2.0896935263107617
device_0,0.75,1701,1.5,54.0675,0.1,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,978,2.7506502343174604,16.295098582072185,19.045748816389647,0.980607903277947,1.463863081018324
device_0,0.75,1701,1.5,54.0675,0.15,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,1478,14.712440918126209,31.073511751543403,45.78595266966961,0.8060910746243137,4.017443940125669
device_0,0.75,1701,1.5,54.0675,0.15,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,22,1478,4.304345318513723,18.93694557240836,23.241290890922084,0.9682267711134882,2.205505221883904
device_0,0.75,1701,2.0,72.09,0.01,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,100,0.8908010409601341,2.024734889755901,2.915535930716035,0.9395530648115723,0.0017402340361367217
device_0,0.75,1701,2.0,72.09,0.01,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,100,0.08392494905391332,0.8301749955372254,0.9140999445911387,,0.0008610516267280267
device_0,0.75,1701,2.0,72.09,0.05,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,500,5.072370814635038,8.93874863844939,14.011119453084428,0.970595995774324,0.035867658329693394
device_0,0.75,1701,2.0,72.09,0.05,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,500,0.5118898794649818,3.7398038480517295,4.251693727516712,0.9654147203282952,0.0460850664669886
device_0,0.75,1701,2.0,72.09,0.1,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,1000,10.563617831102313,16.86974816272961,27.43336599383192,0.9642726112888387,0.517370054129434
device_0,0.75,1701,2.0,72.09,0.1,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,1000,1.0807138759731048,6.895902360765466,7.976616236738571,0.9699805218147036,0.7638484515807794
device_0,0.75,1701,2.0,72.09,0.15,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,0,1500,15.229028062383728,25.06182321324154,40.290851275625265,0.9535651103901809,7.049581495271329
